,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000129932.12,25.3256732433142,-0.759146680353268,0.666905134786984,-1.1383128435437,0.254989872851108,0.709198262656165
ENSG00000147140.19,1317.95320933304,0.191455612306867,0.168171319914953,1.13845578665667,0.25493021081167,0.709198262656165
ENSG00000164144.18,83.9270066621831,-0.404711455163194,0.355267669751815,-1.13917333216929,0.254630866117949,0.709198262656165
ENSG00000173548.10,28.4616716063539,-0.70676582333253,0.62020232262461,-1.13957300311549,0.254464237979149,0.709198262656165
ENSG00000174007.11,10.0112770742549,-1.11619092847194,0.979774809426385,-1.13923211510757,0.254606353968952,0.709198262656165
ENSG00000178605.17,9.38437450783508,1.39608990553215,1.22733567956227,1.13749639058001,0.255330832623325,0.709198262656165
ENSG00000213020.12,23.1781634096079,-0.769500168099179,0.676313830834101,-1.13778564479474,0.255210000636384,0.709198262656165
ENSG00000282092.1,29.8188863381266,-0.75998080946489,0.668133044806663,-1.13746927407969,0.255342162208496,0.709198262656165
ENSG00000145592.16,113.00766961827,0.390546464739537,0.343462864202897,1.13708498194095,0.255502761446615,0.709238038947913
ENSG00000157111.15,22.6345200001665,-0.735449983558871,0.646695421145359,-1.13724322070554,0.255436623503268,0.709238038947913
ENSG00000157637.15,79.9324902885805,-0.422568501134692,0.371689464753964,-1.13688587168971,0.255585999067113,0.709277086450386
ENSG00000006015.20,7.86178072877302,1.27092299474819,1.11809308235541,1.13668800460766,0.255668735651504,0.709314722773411
ENSG00000240857.4,18.3218914387169,0.826468326531639,0.727610709165089,1.13586608349949,0.256012614809276,0.710076643834005
ENSG00000164442.13,20.8473749195762,0.834112345960647,0.734697833569779,1.13531346881456,0.256244000868498,0.710386543727483
ENSG00000175581.16,38.0616373857423,0.616295528221631,0.542863311227265,1.13526833638537,0.256262904744291,0.710386543727483
ENSG00000026559.16,9.62670194742498,1.14512775348573,1.00910270541626,1.13479802139006,0.256459955465653,0.710575696666401
ENSG00000075539.17,46.2220707978254,-0.525661820682581,0.463297625847726,-1.13460935553197,0.256539031505658,0.710575696666401
ENSG00000148835.14,13.8007138362565,-0.947529094923004,0.835011720124428,-1.13474945571041,0.25648030931457,0.710575696666401
ENSG00000065970.11,48.0720072232354,-0.515091511844064,0.454272777760237,-1.13388152903128,0.256844246060739,0.710759565438262
