"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0048514","blood vessel morphogenesis",292,-0.35476504085801,-1.63485740621202,3.75620445916752e-05,0.00139955007531313,0.0011212186138482,599,"tags=17%, list=6%, signal=16%","4162/3678/4638/5291/3685/10672/652/3516/7837/1432/23670/1000/3688/5747/3491/93649/1490/306/4643/29775/1969/4879/1282/3696/133/4017/2246/1284/25932/3091/4883/2969/147372/3949/8503/23576/5159/2316/7057/51421/6678/4627/7070/857/1295/7042/71/10769/800"
"GO:0044057","regulation of system process",194,-0.39849207934017,-1.75189067655887,3.94735553656175e-05,0.00141485463529391,0.0011334795238577,1534,"tags=30%, list=16%, signal=26%","10458/5530/3269/10765/781/1906/4898/481/2332/9569/2309/56288/274/1756/1605/136319/808/818/51196/2185/7341/185/23405/2149/100/309/801/4088/1393/1889/7067/1829/118738/8898/5318/1601/1407/805/1075/2744/120/93649/23175/476/4000/1264/817/4879/133/5997/3815/2316/5021/10398/29995/7168/857/7042"
"GO:0098609","cell-cell adhesion",357,-0.340752319669176,-1.60229990896896,3.97345220540523e-05,0.00141485463529391,0.0011334795238577,999,"tags=20%, list=10%, signal=19%","7037/5754/23654/92211/55193/1495/4771/54510/83604/60626/100/2195/8502/1829/23240/51571/64844/10808/4651/6599/5318/57045/7430/3678/5291/3685/652/54751/64115/1432/144100/80381/22890/8728/144165/1000/5962/3688/5747/1500/3491/266727/3146/1825/64084/10611/23075/55679/91624/23022/27032/5573/8754/5819/6385/29766/9655/1266/84962/57451/3897/3815/23705/2316/4026/10398/4627/7070/857/7042/7414/71/60"
"GO:0051653","spindle localization",44,-0.617696374787125,-2.1266546808575,4.07168144801856e-05,0.00143876438342579,0.00115263429018637,1365,"tags=48%, list=14%, signal=41%","8841/23122/23291/3993/1058/3837/56776/1072/259266/4926/5347/10403/3688/9700/22919/54908/10615/51203/10096/10097/4627"
"GO:0051640","organelle localization",423,-0.324643512793053,-1.54692636116416,4.10399683638363e-05,0.00143919707239544,0.00115298092939231,1978,"tags=31%, list=20%, signal=26%","10726/84100/5195/1060/7013/3835/117177/8773/9183/1453/55166/1062/4134/23265/9218/51652/161424/55669/1499/5899/55201/84984/5901/11011/57082/10749/1639/55288/51490/65009/8867/79789/94121/10768/5293/4928/83540/84722/8841/10652/23344/5925/4218/1785/23636/10640/6382/4751/23122/23291/54843/56288/6814/274/10228/3993/10053/10059/26985/27436/1058/57102/164/9735/2908/4641/324/998/801/7756/5537/84823/3281/6845/57488/3837/56776/1072/4976/9217/81488/8697/332/2054/8723/259266/4926/3833/9928/7430/10494/54874/25893/4430/5347/91782/84364/6059/3985/10403/5119/9927/1000/3688/81930/9700/11004/1063/891/4000/4643/4001/3192/5819/6385/22919/54908/55143/10615/3091/3799/29127/858/51203/1894/3815/81610/10096/10097/9787/4627/7846"
"GO:0008652","amino acid biosynthetic process",55,0.57401087315946,2.04035321803381,4.19296027902549e-05,0.00144844874116485,0.0011603926993721,68,"tags=15%, list=1%, signal=15%","440/81539/6472/29968/445/586/5831/26227"
"GO:0045861","negative regulation of proteolysis",123,0.456172155284724,1.8525488743017,4.18475487730528e-05,0.00144844874116485,0.0011603926993721,921,"tags=24%, list=10%, signal=22%","5270/5329/960/79094/5621/5271/5054/6695/5055/3428/3326/2597/331/51035/56658/28996/55795/6125/5327/3476/7917/4035/4534/2876/8710/4193/6737/65992/6135/1471"
"GO:0051303","establishment of chromosome localization",93,-0.474404002900395,-1.8665059504414,4.41512091240686e-05,0.00151389590396528,0.0012128242475173,2212,"tags=48%, list=23%, signal=38%","9525/81929/113130/151648/10726/1060/7013/3835/9183/55166/1062/51652/55201/57082/83540/84722/5925/23636/4751/27436/9735/324/998/7756/3837/8697/332/4926/3833/9928/91782/10403/5119/81930/11004/1063/891/3192/22919/54908/55143/10615/29127/1894/81610"
"GO:0009887","animal organ morphogenesis",419,-0.323562903090201,-1.54142147550174,4.99161100634089e-05,0.00169898289326117,0.00136110259871044,1549,"tags=24%, list=16%, signal=21%","6259/10413/5530/65009/1363/10765/4211/7074/5371/55742/10409/30061/8692/1906/26018/121227/27173/81839/10087/1399/57599/23291/57211/1605/30008/3845/3988/5754/1522/2908/1495/4771/171023/10152/324/998/309/6774/64783/6491/4088/657/2195/7067/2535/823/8323/60485/3065/2022/64651/27067/6599/2054/115701/5318/57045/1601/4638/6670/25937/652/51715/1856/3516/9653/1432/3066/144165/9927/70/1000/84159/5357/5747/3491/72/359845/6195/1301/1490/55679/1969/26005/5584/3340/133/2246/7286/3091/1278/2316/1290/7168/7846/7070/857/1277/3638/1295/7042"
"GO:1902903","regulation of supramolecular fiber organization",240,-0.369086145735332,-1.66414183982594,5.69724443858644e-05,0.00192500324862895,0.00154217381153592,1938,"tags=35%, list=20%, signal=29%","23406/5058/57551/51429/55243/57704/11214/3925/5201/832/7046/27236/55971/1613/55201/2885/1639/11135/10458/23580/10109/2909/1906/84722/5925/7411/64857/23122/5295/10382/6840/274/1191/8500/55704/3312/30008/9037/136319/4233/4771/2185/1955/2059/10152/324/998/4088/10787/23500/6281/57606/51571/5062/10602/4926/2764/6711/25959/10979/130271/5962/9793/120/829/7114/1073/1490/830/23075/10092/118/6385/29766/22919/4281/26586/3949/11034/2316/9948/22974/51474/7168/71"
"GO:0051231","spindle elongation",11,-0.850697216582392,-2.05507465715844,6.02746371402006e-05,0.00202182098059412,0.00161973719790181,743,"tags=82%, list=8%, signal=76%","5518/332/4926/24137/3832/55143/29127/9493/9055"
"GO:0043039","tRNA aminoacylation",44,0.607709217670089,2.08040488662068,6.12801865919649e-05,0.00203704711157761,0.00163193527625335,1575,"tags=39%, list=16%, signal=33%","2617/7453/6301/16/4141/833/8565/4677/3376/2058/1615/25973/7407/80755/51520/2193/55152"
"GO:0006414","translational elongation",60,0.551654850710289,1.97644494576123,6.16086834350542e-05,0.00203704711157761,0.00163193527625335,1332,"tags=35%, list=14%, signal=30%","54676/6301/16/10399/1933/79631/6176/53918/1938/1937/3396/1915/80325/55139/9343/9100/6181/1936/7284/60678/10600"
"GO:0030071","regulation of mitotic metaphase/anaphase transition",80,-0.5071057173917,-1.94529748326772,6.36135003098954e-05,0.00207371051362328,0.00166130735056903,1413,"tags=38%, list=15%, signal=32%","51143/83540/7272/5925/7175/6597/9735/55193/324/7756/9319/10783/8697/332/6599/5885/11130/701/5347/10403/26271/699/51776/9700/1063/891/54908/55143/9787/60"
"GO:0008360","regulation of cell shape",75,-0.510586601819264,-1.92498315286533,6.32481258093192e-05,0.00207371051362328,0.00166130735056903,1546,"tags=43%, list=16%, signal=36%","55023/56990/1690/1613/11135/10458/9344/23580/55742/2909/1605/23654/4771/2185/2059/4651/10602/7430/10672/54751/10979/5962/5747/55660/1398/989/4628/1729/3815/9948/7168/4627"
"GO:1900101","regulation of endoplasmic reticulum unfolded protein response",24,0.69435492617289,2.04206606083182,6.69911223481636e-05,0.00216854479265489,0.00173728173744998,1260,"tags=42%, list=13%, signal=36%","3309/23645/4189/10399/11153/51283/65992/23376/7494/2081"
"GO:0007167","enzyme-linked receptor protein signaling pathway",485,-0.314513865001858,-1.52540960669903,7.42768495154995e-05,0.00238769122505033,0.00191284605879463,1766,"tags=28%, list=18%, signal=24%","7046/3690/22938/7157/60436/1499/5781/5899/6654/6720/8412/29990/1942/4739/9688/10755/2885/161742/6259/10458/65009/10140/7074/5371/5293/3621/5678/4012/7041/8396/11171/6272/9392/23636/1399/5295/8527/5286/9961/55704/2152/2065/9958/5928/79801/5562/4233/90993/5335/2817/9839/51196/2185/5931/51701/4641/114882/9052/6774/51232/51742/23484/4088/657/2068/51496/9508/10923/55914/5926/392255/2591/3065/91851/5062/2022/64651/6599/4926/57045/3678/1601/2771/6711/5291/3977/25937/652/1287/3516/26060/10979/1432/3066/144165/8036/3667/9019/64398/10432/84159/5747/1030/3491/93649/9021/9315/64710/114990/1490/1398/4643/54741/1969/122809/4879/1282/8754/3340/8997/3696/9655/2246/1284/3091/1278/147372/858/8503/3815/23705/5159/2674/7057/1277/23089/7042/11167"
"GO:0010965","regulation of mitotic sister chromatid separation",55,-0.548083029127036,-1.95125761651383,7.70794068832249e-05,0.00244525372886722,0.00195896098664011,1413,"tags=44%, list=15%, signal=37%","51143/83540/7272/5925/7175/9735/324/7756/9319/8697/332/5885/11130/701/5347/10403/26271/699/9700/1063/891/54908/55143/9787"
"GO:0051310","metaphase chromosome alignment",87,-0.49589907966762,-1.94098978447895,7.71240104589792e-05,0.00244525372886722,0.00195896098664011,2212,"tags=51%, list=23%, signal=39%","9525/81929/113130/151648/10726/1060/3835/9183/55166/1062/51652/55201/57082/83540/84722/5925/23636/4751/27436/9735/324/998/7756/3837/8697/332/4926/3833/9928/91782/10403/5119/81930/11004/1063/891/3192/22919/54908/55143/10615/29127/1894/81610"
