"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030029","actin filament-based process","36/338","442/8747",0.081447963800905,2.1077672762323,4.79160223151464,1.60986819940866e-05,0.00220116819721862,0.00191474969573798,"CALD1/ACTG1/TGFB2/AIF1L/ACTB/AMOTL2/TPM1/CNN2/CAV1/ANLN/MYH9/ACTR2/FLNA/MYL9/LIMA1/KIT/TPM4/PREX1/ACTN1/ECT2/PALLD/ZYX/ABITRAM/NRP1/TMOD3/RND3/PDGFRB/ARHGEF2/MYH10/ABL2/SIGLEC15/CCN2/DBN1/NEDD4L/DIAPH1/PDLIM5",36
"GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","9/338","40/8747",0.225,5.82270710059172,6.1288292268636,1.63421967811777e-05,0.00220116819721862,0.00191474969573798,"TRO/L1CAM/PALLD/CADM1/CDH13/DSC3/NECTIN2/CLSTN2/NEXN",9
"GO:0042060","wound healing","23/338","224/8747",0.102678571428571,2.65718776415892,5.03721390309194,1.71220459170777e-05,0.00222079277042986,0.00193182069723287,"VCL/ACTG1/TGFB2/SERPINE2/ACTB/THBS1/PLAUR/TMEM97/TPM1/CNN2/CD44/SLC7A11/CAV1/MYH9/FLNA/MYL9/CDKN1A/ANGPTL4/FGF1/CLDN1/MYH10/SERPINB2/AJUBA",23
"GO:0044409","symbiont entry into host","13/338","84/8747",0.154761904761905,4.00503663003663,5.5481240959695,1.77871303831449e-05,0.0022218395440197,0.00193273126345637,"SLC3A2/CAV1/MYH9/EGFR/HSPA1A/NRP1/CLDN1/LDLR/MYH10/TRIM25/NPC1/NECTIN2/CXCL8",13
"GO:0030155","regulation of cell adhesion","32/338","374/8747",0.0855614973262032,2.2142201689713,4.81153454713701,1.83990139282042e-05,0.0022218395440197,0.00193273126345637,"VCL/ACTG1/TGFB2/SERPINE2/ACTB/COL8A1/THBS1/PLAUR/THY1/TPM1/CD44/COL1A1/CAV1/FLOT1/FLNA/PRNP/GREM1/SPOCK1/CCDC80/PREX1/MYO10/NRP1/ASS1/ABL2/CYTH3/CDH13/LIMS2/FBXO38/LMO7/SPRY4/CXCL8/SOCS5",32
"GO:2000145","regulation of cell motility","39/338","500/8747",0.078,2.01853846153846,4.70224603098865,1.90873148603576e-05,0.00222812588803241,0.00193819962125877,"HSPA5/PLK2/VCL/ACTG1/TGFB2/SERPINE2/CAVIN1/THBS1/AMOTL2/THY1/TPM1/CNN2/COL1A1/CAV1/FLNA/GREM1/LIMA1/KIT/PREX1/EGFR/PIK3R3/FGF1/AKT3/NRP1/CLDN1/PDGFRB/ARHGEF2/ABL2/CDH13/BEX4/TCAF1/ARID4B/CCBE1/NEXN/AJUBA/CXCL8/MYOCD/IGF1R/RIGI",39
"GO:0055088","lipid homeostasis","13/338","85/8747",0.152941176470588,3.9579185520362,5.49385882028308,2.02788421894962e-05,0.00229085501121341,0.00199276635980992,"INSIG1/TMEM97/CAV1/LIMA1/ANGPTL4/RAB30/SESN2/LDLR/ABCA1/ABHD4/NPC1/PCSK9/ACACA",13
"GO:0032367","intracellular cholesterol transport","7/338","24/8747",0.291666666666667,7.54795364891519,6.4397527246768,2.36932490795766e-05,0.00259292994614616,0.00225553496172022,"TMEM97/VPS52/LDLR/ABCA1/STARD4/NPC1/PCSK9",7
"GO:0031589","cell-substrate adhesion","21/338","198/8747",0.106060606060606,2.74471041778734,4.97839327450437,2.45545309206805e-05,0.0026057565843704,0.00226669258323603,"VCL/ACTG1/COL8A1/THBS1/THY1/CD44/COL1A1/FLNA/GREM1/L1CAM/SPOCK1/CCDC80/PREX1/ACTN1/ZYX/NRP1/CDH13/CCN2/LIMS2/SPRY4/AJUBA",21
"GO:0008299","isoprenoid biosynthetic process","6/338","17/8747",0.352941176470588,9.13365819700661,6.72967617940103,2.74581515408446e-05,0.002828189608707,0.00246018237025401,"HMGCR/HMGCS1/IDI1/LSS/FDPS/MVD",6
