,control_rep1,control_rep2,pfos50_rep1,pfos50_rep2
ENSG00000164828.20,91.0068381829617,79.9172634513385,127.793731162957,99.3204513073788
ENSG00000164830.20,72.7118715055211,77.3427303440819,63.7642935952628,50.7009234408103
ENSG00000164880.18,15.102914778863,29.9554713535961,7.29528803581169,31.9830596827019
ENSG00000164885.15,42.331192261751,30.9350145954995,37.492035641182,43.756752394189
ENSG00000164889.17,91.5056301341592,183.168552626253,104.989687054949,125.218856550517
ENSG00000164896.23,76.6272115100949,78.960422012019,81.1941580941781,82.1899422742067
ENSG00000164897.16,41.6198974142394,41.6941136315124,95.5876201273075,62.9568350911409
ENSG00000164902.16,208.762510385283,121.394405726197,147.845726928383,76.8288899639171
ENSG00000164904.20,178.234121287876,227.959627665539,200.858936335554,241.66549356914
ENSG00000164916.13,16.240642346527,5.71512521878689,11.302515970763,21.0014770904233
ENSG00000164919.13,40.4886544713382,45.8575231061173,41.7237784265035,30.0197762091728
ENSG00000164920.12,20.4767372078799,12.8402568712908,32.572578866978,5.44032369098933
ENSG00000164924.20,3567.55378213506,5074.18788916096,4189.42762721957,3572.21412533537
ENSG00000164930.14,111.954409771073,95.7499534252949,57.3812948371498,80.6998177157395
ENSG00000164933.13,179.692020943841,150.018626240276,187.485229192499,222.979327966558
ENSG00000164934.17,320.096100685173,252.109177058401,327.190331140861,289.840819137485
ENSG00000164938.16,42.5830615088707,57.1419888505825,36.5996555331337,35.8847859911449
ENSG00000164941.16,104.084807930526,60.02376887536,47.8536718060774,87.1721387413216
ENSG00000164944.14,153.038692309236,212.860950166701,155.2893317596,225.457607873627
ENSG00000164949.10,9.6238743076871,5.54468489222312,38.2032168338643,32.4368699320924
ENSG00000164951.17,161.513168111619,203.507187538109,496.09112863315,341.881590110614
ENSG00000164953.18,84.8264183299683,21.8986357210528,31.0170459870772,36.1794902328151
ENSG00000164961.18,186.93189913582,193.673376369541,263.982707916059,168.828410410433
ENSG00000164967.12,13.2427739581934,5.98726258848284,20.0398461188545,12.8766821344817
ENSG00000164975.18,109.485600217456,79.1348459258953,88.2397992679198,65.3463599419969
ENSG00000164976.11,22.8290741244257,11.7143097620634,5.87736292606191,14.8368270694831
ENSG00000164978.21,10.1174979039352,7.93710818477904,15.5049429750686,19.2754996940422
ENSG00000164985.17,88.1132497263443,96.4325262000166,60.1310345396141,64.8339396468686
ENSG00000164989.19,6.95447337517687,4.68414251667842,5.56825244474681,16.0538095032574
ENSG00000165006.16,181.751574750261,138.809040519003,129.769607373256,166.439026612866
ENSG00000165029.18,16.6786519555129,9.11810858233459,61.2915533494561,79.4740343559924
ENSG00000165046.15,29.6502800108797,87.0868882106235,154.422511555548,98.687865423938
ENSG00000165055.18,52.0629512009074,35.315901255026,62.0873772957926,46.1364777694698
ENSG00000165060.17,24.2781043889205,16.4559302757152,29.1218860601161,3.88500275968168
ENSG00000165072.12,340.553542065434,386.65283236987,59.3629265108429,69.9106966600002
ENSG00000165084.18,22.4317108642848,32.6115131772018,6.09483339523705,10.5693178794326
ENSG00000165097.18,19.4364311046761,27.468869358271,28.0558814701184,14.1019277694676
ENSG00000165102.17,50.9064236789489,54.182151795771,68.2250738468881,41.5125041661902
ENSG00000165105.12,13.1737500377611,21.3009302293576,5.90533417374832,17.7453057081306
ENSG00000165118.16,24.3621937333444,12.8776518181094,13.8894985382757,16.2443223479523
ENSG00000165119.25,1640.32954524402,1756.43040546467,1503.66265799357,1418.42582820853
ENSG00000165152.11,40.1852633467207,23.1244971451407,15.5362933611168,27.0723408423425
ENSG00000165156.17,86.1280532895923,56.054003737653,41.0664817757992,52.100195818805
ENSG00000165169.13,102.457662882578,124.74215984683,55.7264620292627,50.2847810784671
ENSG00000165185.17,102.692326062226,208.140211201195,159.33298753098,103.117621730053
ENSG00000165195.17,45.6478144107382,23.1046876141326,47.0773058751264,45.262268640998
ENSG00000165209.21,69.1197235965982,46.4818857960771,54.4949670470909,46.5699627690944
ENSG00000165219.25,127.854291037683,120.563569794009,206.812439694952,151.577400380428
ENSG00000165233.20,22.2974000627642,26.805192980169,15.6936075293397,30.5352389932592
ENSG00000165240.23,19.2650068344387,15.9110365973842,25.5763152364006,3.00007214875068
ENSG00000165259.16,46.3163571493387,20.6780614212812,20.6189868525804,20.6092188278281
ENSG00000165264.13,55.5400947743776,42.5058272057699,64.2957370688763,66.0099871620632
ENSG00000165271.19,160.523337669097,179.782226160624,186.7206402944,224.729990346613
ENSG00000165275.12,23.4612406329065,24.6237198860156,51.8391203346786,19.06559090932
ENSG00000165280.20,1586.68415183662,1200.09802712709,1109.18284821672,1099.95823726034
ENSG00000165282.18,72.7860524280206,85.2732405116172,102.369813043566,95.3572621927256
ENSG00000165283.18,213.915272427139,166.760029004558,221.044433536602,194.131300448447
ENSG00000165304.10,316.832511594375,228.688735444739,247.998668498398,193.612205250151
ENSG00000165322.20,47.8227972002736,47.1840546811547,34.4736390012777,96.4947521058824
ENSG00000165338.18,20.1825798917152,13.8261632593029,13.9707304393546,5.97563253897771
ENSG00000165389.8,59.9147508163048,32.7399971399742,22.602283157796,29.805644543272
ENSG00000165392.13,67.4058935957807,52.0981588663348,47.884554686959,51.4302770381598
ENSG00000165406.18,35.4796261994375,4.8516461828058,20.2573965150052,9.08517687637478
ENSG00000165410.16,573.910306227698,480.827002887263,352.391151232494,316.045007309978
ENSG00000165416.17,39.8331062504476,30.7920153892,45.8599340163277,44.9713719841502
ENSG00000165417.14,9.60741906669257,16.7790515074969,15.6825953793078,18.7208719583001
ENSG00000165424.9,10.6404540557574,8.88428978530111,28.2328302492218,10.5015841137035
ENSG00000165458.17,35.0412351525185,47.1140907964412,56.0131823802527,44.6841290887279
ENSG00000165476.16,166.109907323655,133.815339261819,76.0716319378622,116.269024318808
ENSG00000165480.18,105.93614560826,62.8501071006368,140.405474381259,97.2411478636502
ENSG00000165487.16,54.6710978318074,58.4717876649731,57.1976036188448,40.0235081075323
ENSG00000165490.15,171.431392214482,87.1834677248932,89.8587753336148,67.3283719800717
ENSG00000165494.14,15.1975414765295,49.8618881066555,23.8918454069875,42.0199872879021
ENSG00000165501.19,30.3563630005585,16.7524106856227,26.2303288623338,20.6458682533562
ENSG00000165502.9,105.426616774268,115.608756924583,172.945428112329,155.706609458257
ENSG00000165506.16,36.8505049993656,34.3641246507812,41.5931459216731,25.0285400238139
ENSG00000165512.7,101.505470194571,88.306935386689,105.680762938302,118.75298263183
ENSG00000165516.13,76.4635894259704,84.5097913909592,117.430471166076,129.5863340129
ENSG00000165525.20,97.3882526526854,82.1482584565564,56.4806491807886,107.746469458011
ENSG00000165526.11,67.7658210705358,59.2832382323145,96.7603041794038,109.253834052051
ENSG00000165527.10,92.4095380052559,72.9470062122013,60.1782655429594,63.0915958040101
ENSG00000165533.21,33.7021364067272,40.6682342488913,39.8211908536845,30.8346159933116
ENSG00000165572.8,22.5455057193206,18.5505885671454,25.1156902637437,13.6136080975085
ENSG00000165609.16,166.374606226104,189.729097711966,171.426705243721,134.26969478987
ENSG00000165629.22,122.707787046889,104.431813763767,104.228724278359,92.1160883485776
ENSG00000165630.17,22.3630145589643,21.0466894203759,29.2883924787725,24.1304153536587
ENSG00000165632.10,10.4621423032139,3.43413218868904,16.2646801229946,7.70068495442001
ENSG00000165637.16,451.108379328018,451.714519336627,405.292437482738,416.558853780783
ENSG00000165650.14,28.7631552766197,8.49226878527321,14.7196157494536,7.34561420031149
ENSG00000165660.10,76.9931324956178,57.5242375727238,60.2962920984417,50.0399654881728
ENSG00000165669.16,59.5865670976616,22.1857413923525,36.2992782780963,33.7704025206067
ENSG00000165671.24,84.9013628520119,91.8180098862379,55.378392530572,67.733828736103
ENSG00000165672.9,3487.71383745716,6925.34865639716,9008.86195030041,5891.00325940836
ENSG00000165675.21,26.1942807150647,15.8896470466645,25.156331920657,60.0474760604487
ENSG00000165678.24,679.439250400018,549.065229308593,787.153907169443,754.590924741829
ENSG00000165688.16,260.323574170261,182.055397972648,179.254379214763,176.247915543279
ENSG00000165699.18,41.1036941458535,30.1360725165594,42.7611523474245,63.7167742611896
ENSG00000165704.17,105.569998928061,89.8896681009506,73.2181121416127,58.0327855149438
ENSG00000165732.16,436.596826865842,353.103875766484,350.007854206842,413.716096502357
ENSG00000165733.10,278.328948323487,220.267545502585,283.612927831923,316.423766201103
ENSG00000165757.10,26.7469926791691,18.7985969461459,16.7468246653881,32.857691669345
ENSG00000165775.20,68.021161502452,59.5072796451063,65.3553500367346,62.5024953970054
ENSG00000165782.13,64.6901561276318,0,9.49754360985469,32.453027062909
ENSG00000165792.20,90.078447861616,150.595480365643,206.982239010015,180.98591438884
ENSG00000165795.27,34.3263496078748,27.8328871022991,13.5020932007867,36.279297775417
ENSG00000165801.12,35.7975487767992,28.7784175343493,18.081569945656,12.148870305169
ENSG00000165806.23,103.424315126377,62.2733051918288,57.4779930486051,68.7376998422384
ENSG00000165813.22,27.3170488232612,41.7866910186974,13.7644084106954,20.408069905997
ENSG00000165819.14,108.025161234028,110.939993935415,126.308638208037,167.257219805309
ENSG00000165821.13,18.4859799957596,15.6936907347806,13.8135454431877,21.0448298572297
ENSG00000165832.8,124.388489849023,113.458736120169,68.8580620119429,111.380509979316
ENSG00000165861.16,101.0914538597,78.2444883544381,59.1512630762473,42.2071958910511
ENSG00000165868.17,74.3590728026302,38.2075971454193,19.4985821109908,42.7170677094819
ENSG00000165886.7,22.633010962806,17.0450458626985,12.8898453516225,8.96704310832372
ENSG00000165891.18,66.9568147265316,194.751861140936,470.815083407902,196.177748798037
ENSG00000165898.16,36.3765692080767,50.678998205108,60.213840878583,53.4248146865797
ENSG00000165912.18,81.1605116363129,67.5400913059619,57.1427855550883,59.3389918682244
ENSG00000165915.16,317.152428023231,480.604133173933,757.697165474021,670.747730061415
ENSG00000165916.11,533.011666899389,360.854729705784,333.651346127048,426.566179015897
ENSG00000165934.15,202.425419321804,231.202275161819,236.787196879779,175.15078684937
ENSG00000165943.7,64.5658018348709,75.9539020756848,75.7261118502417,52.732353650777
ENSG00000165959.14,30.6368970034169,43.7853294378986,26.3638150088871,26.0591839939992
ENSG00000165996.16,18.1995112238936,16.4742002833554,18.9938185469203,5.30029987511645
ENSG00000165997.7,16.5086703769133,18.6291641894878,7.56199919455584,11.1685487140065
ENSG00000166002.9,9.17019573642523,11.9969490497356,16.3541560061075,27.9770001075213
ENSG00000166004.16,16.6786775564626,35.3857490982511,32.789510120473,16.4076412266739
ENSG00000166012.19,101.04715613291,87.2174188813779,107.37463905849,95.221513332873
ENSG00000166016.8,19.7182680305868,25.5251767326965,14.0684082587635,14.7644280067665
ENSG00000166024.16,57.4232040198006,45.83120909747,28.3739669609743,32.9796652308384
ENSG00000166025.20,83.1875534281806,102.154847089943,138.357324488689,107.155534984151
ENSG00000166037.13,93.9152579113205,94.2623732554928,81.7575539608676,123.144428413572
ENSG00000166046.14,2.38308392126509,7.56731260207973,41.136599509579,12.6658286453015
ENSG00000166068.15,27.5283263935155,15.3873532413623,20.368803411792,13.3258269400385
ENSG00000166073.13,363.857738911889,345.463019972942,521.478585047798,364.422396283187
ENSG00000166086.15,59.3138876167156,68.5587129094343,39.915553885865,43.7191777576394
ENSG00000166123.16,118.712659595459,67.2880207964154,179.876860127486,164.078178121449
ENSG00000166128.15,68.0528688764524,69.103634262902,178.947690417036,41.46853107965
ENSG00000166130.16,133.317352437099,117.463962201494,134.232596601149,123.851343212967
ENSG00000166133.20,26.2874975498335,22.2754302903134,13.5378098317271,21.9798187102398
ENSG00000166135.16,255.758540835082,302.01360886325,365.995666311702,359.905399917498
ENSG00000166136.19,87.3105513688825,117.214142205517,104.109456926224,118.191264857899
ENSG00000166140.18,51.1879957034383,29.0138740602192,37.4897681831359,23.5459431059376
ENSG00000166145.17,41.695738736934,27.2641911094024,8.31623862890633,18.8810867549223
ENSG00000166147.17,32.785446054907,36.2723518156604,45.4139520934684,39.1952751444194
ENSG00000166164.18,92.8240128178697,21.3109047818389,45.093272023041,21.696405223779
ENSG00000166165.16,17.3333063239276,25.2374874311201,21.3279730480119,18.5963355643997
ENSG00000166166.15,48.3588426253605,55.8535021420781,35.7552334952946,51.1604270177466
ENSG00000166167.20,58.2043392915697,74.6273182685859,42.5656775075971,37.6017457486464
ENSG00000166169.19,26.1269412449088,22.396257382802,37.7389408066575,13.033685682072
ENSG00000166170.14,113.281823910898,64.5433156200202,69.4422401472155,85.0960866474497
ENSG00000166171.15,19.583715003065,22.3435375379254,27.1875903243137,24.6849913121047
ENSG00000166173.12,15.067451066224,4.57817930538506,25.4296323447665,25.3110581275953
ENSG00000166181.15,507.851089735698,471.06879783774,482.603175313075,417.356033847254
ENSG00000166197.19,523.81243861695,554.320002361895,610.289813679734,521.806357092478
ENSG00000166199.15,56.5290435972889,83.2441080543023,94.5583083778491,55.376206239389
ENSG00000166200.17,134.153058785108,117.237940309579,88.2698308999579,114.554283059067
ENSG00000166224.20,57.3481181814202,82.2210588717011,38.8578208438508,30.1206248472591
ENSG00000166225.11,124.3230973533,107.447670906367,66.4462523418417,119.126618936115
ENSG00000166226.15,929.753467148259,849.836565326104,667.339896866105,754.77612912414
ENSG00000166228.11,39.0467633882534,44.6414702610415,41.1020347994679,48.7825001943787
ENSG00000166233.17,27.6254755977322,45.2167597910309,29.7101574960576,21.8956774608856
ENSG00000166246.16,7.32718844965869,8.27594360788954,13.8536922368401,18.4149224435489
ENSG00000166260.15,54.3070076838384,84.5603750176782,116.411999353,106.345499067147
ENSG00000166261.13,14.2923929820073,11.0770172955375,26.4074174756002,55.6953321008933
ENSG00000166263.15,17.9873232710556,36.5349970404507,6.45916082150888,27.9875399414337
ENSG00000166266.16,61.9563316905569,41.879996923878,58.2623496144104,63.6104656263098
ENSG00000166272.20,39.6591839353487,14.6000091080265,12.4824631084491,14.7765844876166
ENSG00000166275.18,17.8073694108248,18.5278277958635,27.2746620117894,14.1699202624714
ENSG00000166295.11,40.2511556500484,37.6695243618599,51.914617558198,64.016978484279
ENSG00000166311.12,5.52573127681786,26.9847685293877,23.460397853545,19.1618901724616
ENSG00000166313.22,309.824463762602,423.452887300346,333.007904945914,433.738722275315
ENSG00000166326.9,227.369207558008,172.375669108662,89.2960746088912,84.9126866978226
