gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000108509.23,108.924640299593,2.31801039777841,0.46253269206227,5.01156012874077,5.399050731223e-07,4.53785788507874e-05
ENSG00000172432.21,109.913197782471,2.14610666687146,0.428850168153758,5.00432744636817,5.60573994166497e-07,4.67327295624656e-05
ENSG00000050405.16,262.004472581366,-1.44316252023578,0.288776275104149,-4.99751068440542,5.80751219611405e-07,4.80243790798012e-05
ENSG00000145934.18,153.151456266264,-1.82036983704781,0.365080805268567,-4.98621075328427,6.1574976040685e-07,5.0290366677764e-05
ENSG00000149591.19,447.771503658133,-1.20409821940226,0.241519212167589,-4.98551733667774,6.17962375794642e-07,5.0290366677764e-05
ENSG00000198901.16,625.156291189198,-1.12828350116479,0.226597601974735,-4.97923848854583,6.38349429009309e-07,5.15404334256807e-05
ENSG00000139278.11,277.500443285334,-1.44956466831675,0.291802817218303,-4.96761711259388,6.77806247806822e-07,5.42986348828996e-05
ENSG00000154144.15,925.077120522049,1.58802422900054,0.320381456378935,4.95666711472303,7.17126877267606e-07,5.61329694618475e-05
ENSG00000157404.19,109.017406388587,-2.06433606451892,0.416429978910599,-4.95722250813766,7.15080665807084e-07,5.61329694618475e-05
ENSG00000167460.20,749.343275064788,-1.03936897939271,0.209684143988525,-4.95683154492402,7.16520487207484e-07,5.61329694618475e-05
ENSG00000075643.8,109.440263838258,2.03526926749814,0.412391614812001,4.9352828583238,8.00346809445976e-07,6.17388071320158e-05
ENSG00000289027.1,28.2390523772746,-7.94031667526061,1.60892277738615,-4.93517575042379,8.00786166233479e-07,6.17388071320158e-05
ENSG00000139289.16,145.872978025353,1.78294196525443,0.361663688538218,4.9298340468206,8.22994981259875e-07,6.2636552930274e-05
ENSG00000167772.14,21.4831258739321,8.18342200719552,1.66011117064657,4.92944216742322,8.24647420088452e-07,6.2636552930274e-05
ENSG00000167797.10,415.047971982157,1.68474399755842,0.342328352639651,4.92142700003539,8.59154489621228e-07,6.47777215924711e-05
ENSG00000124126.16,66.0005729633396,2.59510454661046,0.532794968642349,4.87073771215074,1.1118234985117e-06,8.32163368886059e-05
ENSG00000059804.20,352.497595229657,1.77667146602427,0.365304727451005,4.86353264142349,1.15308999357894e-06,8.56795999576696e-05
ENSG00000101447.16,431.854551845444,-1.19539815300614,0.2463122079246,-4.85318272723239,1.21495648045111e-06,8.96270773420555e-05
ENSG00000167508.14,131.53121513901,-1.93303166226202,0.398846350180058,-4.84655723034536,1.25622361306573e-06,9.20094066312568e-05
ENSG00000108639.10,914.230054943048,1.06064440860316,0.219687928692726,4.82795943734652,1.37939180165386e-06,9.96076305222446e-05
ENSG00000147224.14,317.275046841007,-1.4651115800497,0.30343638474332,-4.82839782476665,1.37635922481928e-06,9.96076305222446e-05
ENSG00000234127.11,50.8645334608449,-3.13037073920891,0.649767014917947,-4.81768182646855,1.4523572177395e-06,0.000103419936879867
ENSG00000180914.12,160.891525124463,-1.64718228196079,0.342255607272693,-4.81272548048684,1.48885741167173e-06,0.000105287888960565
ENSG00000164244.23,658.488760507383,1.02634384743061,0.213454069609861,4.80826554071562,1.52245449603931e-06,0.00010692635892046
ENSG00000178104.23,260.523719841236,1.4272804012891,0.297244892529157,4.80169865710679,1.5732532482271e-06,0.000109742440866127
ENSG00000129353.17,292.455559348433,-1.28271832414214,0.270360300774078,-4.7444773528863,2.0904536393954e-06,0.000144834537961895
ENSG00000282046.3,154.281352925205,1.93860934254117,0.412060166505691,4.70467543364056,2.54270140298782e-06,0.000174985638833806
ENSG00000152558.17,666.890942348716,-1.07838246869013,0.229624400594261,-4.69628866052259,2.64931074303918e-06,0.000181106882394158
ENSG00000146648.23,104.893483067532,1.96838803817971,0.421977021711474,4.6646806269124,3.09096722337253e-06,0.000209899191446768
ENSG00000072110.19,1718.15586556532,-1.08902041558834,0.233678311907891,-4.6603401346788,3.156872711608e-06,0.000212964294637029
ENSG00000114346.16,400.719551261063,-1.14906230658041,0.247398348018131,-4.64458358669477,3.40763065424154e-06,0.000228378070121521
ENSG00000149428.23,410.177744179471,1.46504200616224,0.315584635658759,4.6423109385667,3.44533849753305e-06,0.000229405850348726
ENSG00000117461.17,44.2140202416364,-3.62090092561915,0.781044022144454,-4.63597546739749,3.55258102523608e-06,0.000235020424727553
ENSG00000234741.11,169.392042799639,1.5981783467898,0.345013203260747,4.63222372849877,3.6175890753665e-06,0.000237786912684667
ENSG00000138758.14,457.544796497666,-1.15910160298161,0.250730934372726,-4.62289029425678,3.78429884399605e-06,0.000247160511760099
